sn,food_name,edible_portion,moisture,protein,fat,carbs,minerals,fiber,calories,calcium,phosphorus,iron,carotene,vitamin_c,thiamine,riboflavin,niacin,cluster_id
564,"Timilia, wakche",,88.0,1.0,0.9,7.4,0.8,1.5,37.0,,,,,17.3,,,,0
565,Vyakur,,77.0,1.6,0.05,17.9,0.6,1.8,129.0,,,,,6.2,,,,0
566,Vyakur githa,,80.7,2.0,0.9,14.0,0.9,1.7,66.0,,,,,7.51,,,,0
567,Vyakur jhutre,,78.0,1.5,0.9,18.0,0.8,1.5,78.0,,,,,6.94,,,,0
568,Rara,,2.0,6.15,19.9,70.0,1.63,0.14,484.0,56.0,98.0,5.1,,,,,,4
569,Maggi,,5.8,7.12,17.9,67.0,2.12,0.09,458.0,40.0,123.0,1.4,,,,,,4
570,Ezee,,7.0,5.9,16.8,66.4,3.9,1.5,440.0,14.9,85.0,3.7,,,,,,4
571,Yeo's Inst. Noodle,,7.2,11.4,18.1,61.0,2.5,1.5,454.0,19.1,112.0,2.9,,,,,,4
572,Yeo's Inst. Noodle (Curry F1),,6.9,9.1,18.0,63.6,2.1,1.5,453.0,16.4,116.0,1.4,,,,,,4
573,Yeo's Inst. Noodle (Spicy F1.),,5.9,8.8,19.4,63.6,2.3,1.5,464.0,21.8,109.0,1.9,,,,,,4
574,Yeo's Inst. Noodle (Mushroom F1),,8.5,9.0,17.6,63.0,1.8,1.5,446.0,14.0,113.0,1.1,,,,,,4
575,Ma Ma Inst. Noodle (Chicken F1 Thai),,7.6,7.3,17.3,65.0,3.0,1.5,445.0,15.7,114.0,1.6,,,,,,4
576,Ma Ma Inst. Noodle,,7.2,6.5,15.6,68.0,2.9,1.5,438.0,24.8,100.0,2.7,,,,,,4
577,Ma Ma Inst. Noodle (Shour Shrimp F1),,6.5,9.7,17.2,64.0,2.6,1.5,448.0,10.5,125.0,1.7,,,,,,4
578,Tiger bran Noodles,,12.7,10.0,1.6,75.0,0.7,1.5,357.0,14.7,75.0,1.0,,,,,,4
579,Surya Noodles,,14.0,6.2,0.6,79.0,0.57,1.5,346.0,15.6,80.0,4.0,,,,,,4
580,Testy Noodles,,12.0,7.0,0.4,80.0,0.26,1.5,352.0,14.5,81.0,2.8,,,,,,4
581,Egg steam Noodle (Tiger Br. Coiled),,13.6,6.8,1.3,77.6,0.7,1.5,349.0,25.5,106.0,0.5,,,,,,4
582,Gauri Shankar Noodle,,13.6,9.2,0.46,76.0,0.6,1.5,344.0,9.3,61.0,0.7,,,,,,4
583,San Noodle,,12.5,4.6,0.19,81.0,2.04,1.5,344.0,17.3,72.0,5.2,,,,,,4
584,San Egg Noodle,,11.6,8.0,1.4,77.0,1.8,1.5,353.0,,92.0,7.1,,,,,,4
585,Steam Chau Chau (dear Brand Colied),,13.4,8.3,0.3,77.4,0.6,1.5,345.0,29.0,75.0,1.5,,,,,,4
586,Yak Noodle,,13.2,8.6,0.2,76.5,1.5,1.5,340.0,47.0,64.0,10.0,,,,,,4
587,Annapurna steam No.,,12.5,10.9,0.3,76.0,0.5,1.5,352.0,35.0,57.0,0.5,,,,,,4
588,S.- Noodle coiled Singapore,,9.9,8.3,0.2,79.0,2.8,1.5,351.0,12.1,28.0,1.7,,,,,,4
589,Saugat,,11.8,2.0,0.6,84.0,1.2,1.5,349.0,40.0,145.0,2.2,,,,,,4
590,Gimi Spaghetti,,8.7,8.0,0.19,83.0,0.56,1.5,364.0,15.3,75.0,0.6,,,,,,4
591,Gimi Short Noodle Chicken Soup Base (Zebra),,9.7,19.81,0.23,80.0,0.48,1.5,360.0,15.3,83.0,0.7,,,,,,4
592,Chicken Cracker,,3.9,16.7,19.4,57.2,2.8,1.5,470.0,23.4,51.4,6.3,,,,,,4
