sn,food_name,protein,fat,carbs,fiber,calories,calcium,iron,vitamin_c,breakfast,lunch,dinner,food_name_clean,breakfast_cluster,lunch_cluster,dinner_cluster
367,Mustard seed,20.0,39.7,23.8,1.8,541.0,490.0,7.9,0.0,1,0,0,mustard seed,2,,
368,Niger seed,23.9,39.0,17.1,10.9,515.0,300.0,56.7,58.71,1,0,0,niger seed,2,,
369,Pistachio nut,19.8,53.5,16.2,2.1,626.0,140.0,7.7,58.58,1,0,0,pistachio nut,2,,
370,Poppy Seed,15.1,2.3,75.3,1.9,382.0,981.0,5.2,58.79,1,0,0,poppy seed,1,,
371,Safflower seed,13.5,25.6,17.9,34.9,356.0,236.0,4.6,58.95,1,0,0,safflower seed,2,,
372,Sunflower seed,19.8,52.1,17.9,1.0,620.0,280.0,5.0,1.0,1,0,0,sunflower seed,2,,
374,Sesame seed black,21.3,47.97,9.33,8.86,554.0,387.91,12.65,58.65,1,0,0,sesame seed black,2,,
375,Sesame seed white,25.9,49.57,12.4,2.53,599.0,282.71,4.59,58.6,1,0,0,sesame seed white,2,,
376,Sesame seed brown,23.4,37.3,22.9,2.89,521.0,422.94,16.13,58.69,1,0,0,sesame seed brown,2,,
377,Siltimur,7.1,42.15,26.3,14.4,542.0,219.34,9.44,58.69,0,0,0,siltimur,,,
378,Bhang ko geda,19.9,34.8,30.6,3.1,516.0,309.47,11.1,58.71,0,0,0,bhang ko geda,,,
379,Buffalo meat (lean meat),19.4,0.9,0.0,2.68,86.0,3.0,1.78,59.37,0,0,0,buffalo meat (lean meat),,,
380,Buff Sausage,15.9,5.64,8.8,4.09,150.0,273.07,7.7,59.24,0,1,0,buff sausage,,2,
381,Chicken flesh,18.8,17.6,0.0,0.0,187.0,12.0,3.0,59.23,0,1,1,chicken flesh,,3,2
382,Chicken Sausage,16.5,18.8,0.0,0.09,253.0,175.16,0.55,59.11,0,1,1,chicken sausage,,3,2
383,Duck meat,21.6,4.8,0.0,2.71,130.0,4.0,2.09,59.31,0,0,0,duck meat,,,
384,Field rat's meet,23.6,1.0,0.9,2.83,104.0,30.0,2.46,59.34,0,1,1,field rat's meet,,2,0
385,Finch,26.6,3.0,3.87,3.15,133.0,90.0,3.88,59.29,0,1,1,finch,,2,0
386,Goat- Meat(Lean meat),21.4,3.6,0.0,2.74,118.0,12.0,2.17,59.32,0,0,0,goat- meat(lean meat),,,
387,"Liver , goat",20.0,3.0,3.74,2.77,107.0,17.0,2.24,59.34,1,0,0,"liver , goat",0,,
388,"Liver , sheep",19.3,7.5,1.3,2.76,150.0,10.0,6.3,20.0,0,1,0,"liver , sheep",,2,
389,Mutton muscle,18.5,13.3,3.83,3.49,194.0,150.0,2.5,59.2,0,1,1,mutton muscle,,3,2
390,Pork muscle,18.7,4.4,3.6,2.84,114.0,30.0,2.2,59.33,0,0,1,pork muscle,,,0
391,Pigeon meat,23.3,4.9,4.02,2.77,137.0,12.0,2.49,2.0,0,0,0,pigeon meat,,,
392,Ham Sliced (Barume),20.8,23.9,12.5,2.88,349.0,12.41,0.67,59.0,0,1,1,ham sliced (barume),,3,2
393,Ham(Smoked),21.4,15.0,0.4,0.0,122.0,8.65,1.05,59.32,0,1,1,ham(smoked),,3,2
394,Pork Bacon (Swiss Gourmet),14.9,21.0,10.1,0.02,289.0,150.38,0.72,59.06,0,1,1,pork bacon (swiss gourmet),,3,2
395,Pork Prine Bacon,18.8,23.0,3.4,0.01,296.0,185.88,0.53,59.05,0,1,1,pork prine bacon,,3,2
396,Pork Sausages,19.2,28.95,13.7,2.91,392.0,15.53,0.83,58.93,0,1,1,pork sausages,,3,2
397,Salami Cooked,17.8,4.0,0.0,0.01,172.0,9.75,1.65,59.25,0,1,1,salami cooked,,2,0
398,"Snail , small",12.6,1.0,3.7,9.37,74.0,1321.0,28.04,59.19,0,1,1,"snail , small",,0,1
399,"Snail , big",10.5,0.6,12.4,7.1,97.0,870.0,19.31,59.22,0,1,1,"snail , big",,0,1
400,Turtle meat,16.5,1.5,1.5,2.7,86.0,7.0,1.88,59.37,0,0,0,turtle meat,,,
401,Venison,21.0,0.6,1.9,2.69,97.0,3.0,1.88,59.35,0,0,1,venison,,,0
402,Duck- egg,13.5,13.5,0.8,3.07,181.0,70.0,2.5,59.23,1,0,0,duck- egg,0,,
403,Hen- egg,13.3,13.3,3.81,3.03,173.0,60.0,2.1,0.0,1,0,0,hen- egg,0,,
404,Battai-egg( Quail egg),13.0,11.09,0.41,3.03,158.0,62.0,3.7,0.0,1,0,0,battai-egg( quail egg),0,,
405,Bam fish,16.1,0.9,6.9,4.36,100.0,330.0,0.8,3.0,0,0,0,bam fish,,,
406,Hisla,21.8,19.4,2.9,3.68,273.0,180.0,2.1,24.0,0,0,1,hisla,,,2
407,Katla,19.5,2.4,2.9,5.37,111.0,530.0,0.9,59.26,0,0,1,katla,,,0
408,Kol,14.8,8.8,4.4,4.79,156.0,410.0,1.4,32.0,0,1,1,kol,,0,1
409,Mungri,15.0,1.0,4.2,3.74,86.0,210.0,0.7,11.0,0,1,1,mungri,,0,1
410,Singhi,22.8,0.6,6.9,6.1,124.0,670.0,2.3,9.0,0,1,1,singhi,,2,0
