sn,food_name,protein,fat,carbs,fiber,calories,calcium,iron,vitamin_c
297,"Mango, Ripe / Dashari",1.1,0.06,17.6,0.18,75.0,87.76,3.61,59.37
298,"Mango, Ripe / Jarda",0.8,0.03,15.0,0.41,63.0,89.41,3.53,59.39
299,"Mango, Ripe / Kalkatiya",0.4,0.01,19.0,0.09,80.0,77.93,3.46,59.36
300,"Mango, Ripe / Fajali",0.9,0.15,15.0,0.1,65.0,89.84,3.55,59.39
301,"Mango, Ripe / Amrapali",1.5,0.09,15.4,0.08,68.0,95.34,3.68,59.38
302,"Mango, Ripe / Chausa",0.77,0.08,17.8,0.34,75.0,84.4,3.54,59.37
303,"Mango, Ripe / Mallika",0.61,0.09,17.4,0.04,73.0,82.66,3.49,59.37
304,"Mahua, ripe",1.4,1.6,22.7,2.93,111.0,45.0,0.23,40.0
305,Mulberry,1.1,0.4,10.3,1.1,49.0,70.0,2.3,12.0
306,Melon water,0.2,0.2,3.3,0.2,16.0,11.0,7.9,1.0
307,Neem fruit,1.3,1.0,15.1,0.7,75.0,25.0,2.32,59.38
308,Junar,3.06,0.05,11.9,3.29,48.0,125.04,4.11,59.4
309,Orange,0.7,0.2,10.9,0.3,48.0,26.0,0.32,30.0
310,Orange juice,0.2,0.1,1.9,2.65,9.0,5.0,0.7,64.0
311,Papaya   (ripe),0.6,0.1,7.2,0.8,32.0,17.0,0.5,57.0
312,Persimon with peel,0.7,0.14,24.85,0.57,102.7,10.71,0.29,46.0
313,Persimon without peel,0.9,0.11,25.1,0.85,104.04,11.14,0.27,34.6
314,Peaches,1.2,0.3,10.5,1.2,50.0,15.0,2.4,6.0
315,Phalsa,1.3,0.9,14.7,1.2,72.0,129.0,3.1,22.0
316,Pinapple,0.4,0.1,10.8,0.5,46.0,20.0,2.42,39.0
317,Pipal tree figs,2.6,1.7,21.2,9.9,110.0,289.0,7.92,59.29
318,Plums,0.7,0.5,11.1,0.4,52.0,10.0,0.6,5.0
319,Pomegranate,1.6,0.1,14.5,5.1,65.0,10.0,1.79,16.0
320,Pummelo,0.6,0.1,10.2,0.6,44.0,30.0,0.3,20.0
321,Pear,0.6,0.2,11.9,1.0,52.0,8.0,0.5,0.0
322,Pani amala,2.6,0.14,3.4,1.26,26.0,29.3,1.94,59.45
323,Raspbery,1.0,0.6,11.7,1.1,56.0,40.0,2.3,30.0
324,Red rapsberry( kafal),1.72,0.1,8.2,6.43,41.0,125.14,4.02,59.41
325,Rayan,0.0,9.6,27.7,3.14,134.0,83.0,0.9,16.0
326,Rose sppple,0.7,0.2,8.5,1.2,39.0,10.0,0.5,3.0
327,Seethphal,1.6,0.4,23.5,3.1,104.0,17.0,4.31,37.0
328,Strawberry,0.7,0.2,9.8,1.1,44.0,30.0,1.8,52.0
329,Sapota,0.7,1.1,21.4,2.6,98.0,28.0,1.25,6.0
330,Wood apple,7.1,3.7,18.1,5.0,134.0,130.0,0.48,3.0
331,Zizyphus,0.8,0.3,17.0,2.69,74.0,4.0,0.5,76.0
332,Asafoetida,4.0,1.1,67.7,4.1,297.0,690.0,39.4,0.0
333,Anise (Sounf),17.5,3.4,60.0,13.5,341.0,1163.0,3.8,58.83
334,Arithippilli Arisithipplli,13.2,4.7,58.0,5.2,329.0,460.0,13.5,58.95
335,Betal nut ( Supari),4.7,10.2,66.1,13.2,375.0,295.0,4.5,58.91
336,Cinnamon,6.1,1.9,64.6,26.5,259.0,415.0,15.0,0.0
337,Cardamom,10.2,2.2,42.1,20.1,229.0,130.0,4.6,0.0
338,"Chilliy, dry",15.9,6.2,31.6,30.2,246.0,160.0,2.3,50.0
339,"Chilliy, green",2.9,0.6,3.0,6.8,29.0,30.0,4.4,111.0
340,"Cloves, dry",5.2,8.9,46.0,9.5,286.0,740.0,11.7,0.0
341,"Coriander, dry",14.4,16.1,21.6,32.6,288.0,630.0,7.1,0.0
342,Cumin seed,18.7,15.0,36.6,12.0,356.0,1080.0,11.7,3.0
343,Fenμgreek seed,26.2,5.8,44.1,7.2,333.0,160.0,6.5,0.0
345,"Ginger, fresh",2.3,0.9,12.3,2.4,67.0,20.0,3.5,6.0
346,Mace,6.5,24.5,47.8,3.8,437.0,180.0,12.6,0.0
347,Nutmeg,7.5,36.4,28.5,11.6,472.0,120.0,2.03,0.0
348,Omum,17.1,21.8,24.6,21.2,363.0,1525.0,12.5,58.75
349,pepper dry,11.5,6.8,49.2,14.9,304.0,460.0,12.4,58.98
350,Pepper green,4.8,2.7,13.7,6.4,98.0,270.0,2.4,1.0
351,Tamarind pulp,3.1,0.1,67.4,5.6,283.0,170.0,17.0,3.0
352,Turmeric,6.3,5.1,69.4,2.6,349.0,150.0,67.8,0.0
353,Timur,19.46,6.24,46.79,8.06,316.89,1026.97,59.94,58.87
354,Zimbu,19.46,19.28,34.59,7.33,379.42,879.7,48.9,58.81
355,"Lime, peel",1.8,0.5,29.4,6.32,129.0,710.0,2.7,59.2
356,Almond,20.8,58.9,10.5,1.7,665.0,230.0,5.09,0.0
357,Cashew nut,21.2,46.9,22.3,1.3,596.0,50.0,5.8,0.0
358,Coconut (dry),6.8,62.3,18.4,6.6,662.0,400.0,7.8,7.0
359,Coconut (fresh),4.5,41.6,13.0,3.6,444.0,10.0,1.7,1.0
360,chilgoza,13.9,49.3,29.0,1.0,615.0,91.0,3.6,0.0
361,Filinge( Jhusetil),25.6,41.4,22.3,3.1,567.0,390.18,12.94,58.63
362,Groundnut,25.3,40.1,26.1,3.1,567.0,90.0,2.5,0.0
363,"Groundnut, roasted",26.2,39.8,26.7,3.1,570.0,77.0,3.1,0.0
364,Linseed seeds,20.3,37.7,28.3,4.8,533.0,170.0,2.7,0.0
365,Walnut,15.6,64.5,11.0,2.6,687.0,100.0,2.04,0.0
366,Silam,20.0,22.1,30.6,3.13,461.0,297.81,10.53,58.79
367,Mustard seed,20.0,39.7,23.8,1.8,541.0,490.0,7.9,0.0
368,Niger seed,23.9,39.0,17.1,10.9,515.0,300.0,56.7,58.71
369,Pistachio nut,19.8,53.5,16.2,2.1,626.0,140.0,7.7,58.58
370,Poppy Seed,15.1,2.3,75.3,1.9,382.0,981.0,5.2,58.79
371,Safflower seed,13.5,25.6,17.9,34.9,356.0,236.0,4.6,58.95
372,Sunflower seed,19.8,52.1,17.9,1.0,620.0,280.0,5.0,1.0
374,Sesame seed black,21.3,47.97,9.33,8.86,554.0,387.91,12.65,58.65
375,Sesame seed white,25.9,49.57,12.4,2.53,599.0,282.71,4.59,58.6
376,Sesame seed brown,23.4,37.3,22.9,2.89,521.0,422.94,16.13,58.69
377,Siltimur,7.1,42.15,26.3,14.4,542.0,219.34,9.44,58.69
378,Bhang ko geda,19.9,34.8,30.6,3.1,516.0,309.47,11.1,58.71
379,Buffalo meat (lean meat),19.4,0.9,0.0,2.68,86.0,3.0,1.78,59.37
380,Buff Sausage,15.9,5.64,8.8,4.09,150.0,273.07,7.7,59.24
381,Chicken flesh,18.8,17.6,0.0,0.0,187.0,12.0,3.0,59.23
382,Chicken Sausage,16.5,18.8,0.0,0.09,253.0,175.16,0.55,59.11
383,Duck meat,21.6,4.8,0.0,2.71,130.0,4.0,2.09,59.31
384,Field rat's meet,23.6,1.0,0.9,2.83,104.0,30.0,2.46,59.34
385,Finch,26.6,3.0,3.87,3.15,133.0,90.0,3.88,59.29
386,Goat- Meat(Lean meat),21.4,3.6,0.0,2.74,118.0,12.0,2.17,59.32
387,"Liver , goat",20.0,3.0,3.74,2.77,107.0,17.0,2.24,59.34
388,"Liver , sheep",19.3,7.5,1.3,2.76,150.0,10.0,6.3,20.0
389,Mutton muscle,18.5,13.3,3.83,3.49,194.0,150.0,2.5,59.2
390,Pork muscle,18.7,4.4,3.6,2.84,114.0,30.0,2.2,59.33
391,Pigeon meat,23.3,4.9,4.02,2.77,137.0,12.0,2.49,2.0
392,Ham Sliced (Barume),20.8,23.9,12.5,2.88,349.0,12.41,0.67,59.0
393,Ham(Smoked),21.4,15.0,0.4,0.0,122.0,8.65,1.05,59.32
394,Pork Bacon (Swiss Gourmet),14.9,21.0,10.1,0.02,289.0,150.38,0.72,59.06
395,Pork Prine Bacon,18.8,23.0,3.4,0.01,296.0,185.88,0.53,59.05
396,Pork Sausages,19.2,28.95,13.7,2.91,392.0,15.53,0.83,58.93
397,Salami Cooked,17.8,4.0,0.0,0.01,172.0,9.75,1.65,59.25
398,"Snail , small",12.6,1.0,3.7,9.37,74.0,1321.0,28.04,59.19
399,"Snail , big",10.5,0.6,12.4,7.1,97.0,870.0,19.31,59.22
400,Turtle meat,16.5,1.5,1.5,2.7,86.0,7.0,1.88,59.37
401,Venison,21.0,0.6,1.9,2.69,97.0,3.0,1.88,59.35
402,Duck- egg,13.5,13.5,0.8,3.07,181.0,70.0,2.5,59.23
403,Hen- egg,13.3,13.3,3.81,3.03,173.0,60.0,2.1,0.0
404,Battai-egg( Quail egg),13.0,11.09,0.41,3.03,158.0,62.0,3.7,0.0
405,Bam fish,16.1,0.9,6.9,4.36,100.0,330.0,0.8,3.0
406,Hisla,21.8,19.4,2.9,3.68,273.0,180.0,2.1,24.0
407,Katla,19.5,2.4,2.9,5.37,111.0,530.0,0.9,59.26
408,Kol,14.8,8.8,4.4,4.79,156.0,410.0,1.4,32.0
409,Mungri,15.0,1.0,4.2,3.74,86.0,210.0,0.7,11.0
410,Singhi,22.8,0.6,6.9,6.1,124.0,670.0,2.3,9.0
411,Tengra fish,19.2,6.4,2.3,4.07,144.0,270.0,2.0,18.0
412,Prawn,19.1,1.0,0.8,4.31,89.0,323.0,5.3,59.32
413,Crab small,11.2,9.8,9.1,10.88,169.0,1606.0,34.41,59.01
414,Rahu,16.7,1.4,4.4,5.98,97.0,650.0,1.0,22.0
415,Dry fish (Sun dried ),64.9,4.21,16.9,6.79,366.0,777.9,19.34,58.85
416,Dried Fish,58.5,11.14,72.43,6.2,622.48,626.23,18.71,58.5
417,Salted Dry Fish,62.2,6.03,18.4,6.65,377.0,748.85,18.85,58.84
418,Smoked Dry Fish,70.8,7.23,11.6,7.17,391.0,852.58,20.93,58.81
419,Buffalo milk,4.3,6.5,7.4,3.75,105.0,210.0,0.2,1.0
420,Cow milk,3.2,4.1,4.4,3.28,67.0,120.0,0.2,2.0
421,Curd,3.1,4.0,3.0,3.42,60.0,149.0,0.2,1.0
422,Dairy's milk,3.0,2.94,26.51,3.25,141.33,103.87,4.49,59.27
423,Goat milk,3.3,4.5,4.6,3.53,72.0,170.0,0.3,1.0
424,Sheep milk,5.4,6.0,5.1,3.54,95.0,170.0,5.22,59.33
425,Paneer,23.7,26.0,0.6,0.3,331.0,441.0,4.5,58.96
426,Cheese,24.1,25.1,6.3,6.82,348.0,790.0,2.1,58.88
427,Human milk,1.1,3.4,7.4,2.81,65.0,28.0,2.37,3.0
428,Buttermilk,0.8,1.1,0.5,2.78,15.0,30.0,0.1,59.47
429,Khuwa (whole buffalo milk),14.6,31.2,20.5,6.16,421.0,650.0,5.8,58.8
430,Skimmed milk powder (cow's milk),38.0,0.1,51.0,9.82,357.0,1370.0,1.4,5.0
